Books_name,Books_Author,Books_Date,Books_Kindle,Books_Hardcover,Books_Pages,Books_Publisher,Books_Language,Books_Rating,Books_Reviews,Books_Dimensions
The Outsiders,S. E. Hinton,"Apr 20, 2006",,$7.17 ,,"Speak; Platinum ed. edition (April 20, 2006)",English,4.7 out of 5 stars,"2,339 customer reviews",014240733X
Long Road to Mercy (Atlee Pine),David Baldacci,"Nov 13, 2018",$14.39 ,$19.28 ,416 pages,"Grand Central Publishing (November 13, 2018)",English,,,6.4 x 1.2 x 9.4 inches
Beneath a Scarlet Sky: A Novel,Mark Sullivan,"May 1, 2017",$15.99 ,$11.99 ,,"Lake Union Publishing (May 1, 2017)",English,4.8 out of 5 stars,"20,816 customer reviews",)
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo,Jill Twiss,"Mar 18, 2018",,$8.27 ,40 pages,"Chronicle Books (March 18, 2018)",English,4.9 out of 5 stars,"7,913 customer reviews",978-1452173801
Little Fires Everywhere,Celeste Ng,"Sep 12, 2017",,$15.71 ,352 pages,"Penguin Press; 1st Edition edition (September 12, 2017)",English,4.3 out of 5 stars,"3,487 customer reviews",6.3 x 1.1 x 9.3 inches
Go the F**k to Sleep,Adam Mansbach,"Jun 14, 2011",,$9.15 ,32 pages,"Akashic Books; 1st edition (June 14, 2011)",English,4.7 out of 5 stars,"3,562 customer reviews",)
D&D Waterdeep Dragon Heist HC (D&D Adventure),Wizards RPG Team,"Sep 18, 2018",$27.24 ,$27.24 ,256 pages,"Wizards of the Coast (September 18, 2018)",English,4.3 out of 5 stars,52 customer reviews,786966254
A Gentleman in Moscow: A Novel,Amor Towles,"Sep 6, 2016",,$18.90 ,480 pages,"Viking; 1 edition (September 6, 2016)",English,4.7 out of 5 stars,"9,278 customer reviews",)
Ambush (Michael Bennett),James Patterson,"Oct 8, 2018",$15.67 ,$15.67 ,432 pages,"Little, Brown and Company; First Edition edition (October 8, 2018)",English,3.7 out of 5 stars,77 customer reviews,6.2 x 1.4 x 9.6 inches
Winter in Paradise,Elin Hilderbrand,"Oct 9, 2018",,$12.64 ,320 pages,"Little, Brown and Company (October 9, 2018)",English,3.9 out of 5 stars,105 customer reviews,6.5 x 1 x 9.5 inches
The Outsider: A Novel,Stephen King,"May 22, 2018",,$18.01 ,576 pages,"Scribner; First Editiion edition (May 22, 2018)",English,4.4 out of 5 stars,"3,120 customer reviews",6.1 x 1.7 x 9.2 inches
Lord of the Flies,William Golding,"Dec 16, 2003",$18.74 ,$6.82 ,,"Penguin Books; Reissue edition (December 16, 2003)",English,4.2 out of 5 stars,"2,715 customer reviews",)
The Flame: Poems Notebooks Lyrics Drawings,,"Oct 2, 2018",$23.54 ,$22.00 ,288 pages,"Farrar, Straus and Giroux; First American Edition edition (October 2, 2018)",English,4.8 out of 5 stars,16 customer reviews,)
The Great Alone: A Novel,Kristin Hannah,"Feb 6, 2018",,$16.97 ,448 pages,"St. Martin's Press; First Edition edition (February 6, 2018)",English,4.6 out of 5 stars,"4,590 customer reviews",)
Red War (A Mitch Rapp Novel),Vince Flynn,"Sep 25, 2018",$17.38 ,$17.38 ,384 pages,"Atria/Emily Bestler Books (September 25, 2018)",English,3.9 out of 5 stars,251 customer reviews,6.1 x 1.3 x 9.2 inches
1984 (Signet Classics),George Orwell,"Jul 1, 1950",$13.49 ,$5.39 ,,"Signet Classic (January 1, 1961)",English,4.5 out of 5 stars,"6,559 customer reviews",4.2 x 0.9 x 7.5 inches
The President Is Missing: A Novel,James Patterson,"Jun 4, 2018",$19.07 ,$19.07 ,528 pages,"Little, Brown and Company and Knopf; First Edition edition (June 4, 2018)",English,4.3 out of 5 stars,"4,455 customer reviews",)
Hamilton: The Revolution,Lin-Manuel Miranda,"Apr 12, 2016",$24.75 ,$23.50 ,288 pages,"Grand Central Publishing; First Edition edition (April 12, 2016)",English,4.8 out of 5 stars,"1,973 customer reviews",)
The Woman in the Window: A Novel,A. J. Finn,"Jan 2, 2018",$16.20 ,$16.20 ,448 pages,"William Morrow; First Edition edition (January 2, 2018)",English,4.3 out of 5 stars,"4,312 customer reviews",6 x 1.4 x 9 inches
The Nightingale: A Novel,Kristin Hannah,"Apr 25, 2017",$15.54 ,$11.59 ,,"St. Martin's Griffin; Reprint edition (April 25, 2017)",English,4.8 out of 5 stars,"37,482 customer reviews",)
The Sun and Her Flowers,Rupi Kaur,"Oct 3, 2017",$5.71 ,$12.10 ,,"Andrews McMeel Publishing; First Edition edition (October 3, 2017)",English,4.5 out of 5 stars,989 customer reviews,)
This Is How It Always Is,,"Jan 23, 2018",,$8.49 ,,"Flatiron Books; Reprint edition (January 23, 2018)",English,4.6 out of 5 stars,616 customer reviews,)
How the Grinch Stole Christmas! (Classic Seuss),Dr. Seuss,"Oct 12, 1957",,$9.41 ,64 pages,"Random House Books for Young Readers; Early Printing edition (October 12, 1957)",English,4.7 out of 5 stars,825 customer reviews,English
Of Mice and Men,John Steinbeck,"Sep 1, 1993",$18.11 ,$7.76 ,,"Penguin Books; Reissue edition (September 1, 1993)",English,4.4 out of 5 stars,"3,148 customer reviews",)
Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,"Feb 18, 2014",,$13.19 ,176 pages,"HarperCollins; 1st edition (February 18, 2014)",English,4.9 out of 5 stars,"1,702 customer reviews",60256672
